,BTCtweets,Totaltweets,btc_neg_avg,btc_pos_avg,btc_neu_avg,btc_com_avg,neg_avg,pos_avg,neu_avg,com_avg,high,low,open,volume,close,MOM_10,SMA_5,SMA_10,RSI_14,MFI_14,nxt_day_return
2021-12-27,3,28,0.0,0.0,1.0,0.0,0.035,0.11010714285714286,0.8548928571428572,0.1603892857142857,52079.46,50481.26,50790.88,21873.37,50714.73,4550.590000000004,50721.560000000005,49161.254,50.18446098444296,67.26613098063623,0
2022-01-02,3,21,0.0,0.17333333333333334,0.8266666666666667,0.36083333333333334,0.037714285714285714,0.10014285714285716,0.8621904761904763,0.1497238095238095,47979.26,46666.18,47737.35,13025.66,47306.41,-3523.7899999999936,46968.486,48515.642,42.748258988240124,54.404861490885274,0
2022-01-03,32,192,0.074,0.078,0.8479375,0.018784375,0.03123958333333333,0.113921875,0.8548333333333332,0.16725364583333335,47572.23,45707.55,47306.41,21681.38,46450.79,-4389.57,46964.304,48076.685000000005,40.33111708054464,56.04330971906297,0
2022-01-04,21,170,0.06004761904761905,0.06519047619047619,0.8747619047619049,-0.024547619047619047,0.04528823529411764,0.09758235294117647,0.8571176470588235,0.1096829411764706,47529.48,45587.91,46450.79,29035.93,45824.54,-4607.0899999999965,46703.28,47615.976,38.610286045194414,47.57668388499052,0
2022-01-05,55,159,0.049581818181818185,0.08923636363636366,0.861181818181818,0.0689890909090909,0.04451572327044026,0.1157106918238994,0.8397798742138365,0.12690377358490568,47067.18,42510.86,45824.54,47769.2,43432.51,-7358.369999999995,46150.32,46880.139,32.84556516141806,38.988226807613465,0
2022-01-06,18,65,0.052833333333333336,0.081,0.8661111111111112,-0.004288888888888904,0.03653846153846154,0.14532307692307692,0.818123076923077,0.15677999999999997,43779.23,42468.76,43432.51,36804.78,43094.54,-7620.190000000002,45221.757999999994,46118.12,32.11595262603138,30.354655243544716,0
2022-05-19,41,61,0.06863414634146342,0.12421951219512195,0.8071463414634146,0.22476097560975608,0.05531147540983607,0.1461967213114754,0.7984918032786885,0.27190983606557373,30505.0,28653.17,28667.29,48991.36,30282.48,205.5799999999981,30100.058,29874.148000000005,38.278297609958905,21.96161680407265,0
2022-05-20,16,39,0.0501875,0.0795625,0.87025,0.05784374999999997,0.08264102564102564,0.08897435897435897,0.8283846153846154,0.0598076923076923,30725.44,28698.31,30282.48,57051.25,29166.15,-1846.9699999999975,29674.066,29689.451,35.670376764847404,21.95657357406578,1
2022-05-21,22,38,0.01622727272727273,0.10436363636363638,0.8794090909090908,0.3432863636363636,0.02978947368421053,0.10271052631578949,0.8674999999999999,0.28487368421052633,29613.15,28924.28,29166.15,15780.21,29410.72,393.51000000000204,29588.51,29728.802000000003,36.68808320786296,22.15655535334635,1
2022-05-22,42,59,0.03688095238095238,0.11521428571428573,0.8479285714285713,0.22583333333333336,0.03857627118644068,0.1101864406779661,0.8512881355932204,0.18357118644067794,30454.36,29219.51,29410.72,21390.13,30264.29,1348.5699999999997,29558.185999999998,29863.658999999996,40.241389535268894,25.219733718314128,0
2022-05-23,76,145,0.04689473684210527,0.09773684210526315,0.8554078947368421,0.13863026315789473,0.04574482758620689,0.1235103448275862,0.8307655172413791,0.21441862068965517,30634.84,28861.27,30264.29,38286.66,29075.68,-169.15000000000146,29639.864,29846.744,37.117399441383114,27.595305844017144,1
2022-05-24,47,68,0.06823404255319149,0.12368085106382978,0.8081489361702127,0.20508297872340425,0.07305882352941175,0.13339705882352942,0.7936029411764706,0.21011764705882355,29800.48,28629.55,29075.68,28263.22,29630.05,-420.26000000000204,29509.378000000004,29804.718000000004,39.47733292045464,30.63761556753674,0
2022-05-25,25,36,0.05704000000000001,0.08608,0.8568000000000001,0.157536,0.05086111111111111,0.10205555555555555,0.8469722222222222,0.1927777777777778,30189.17,29321.43,29630.05,26906.19,29508.27,-1787.8400000000001,29577.802000000003,29625.933999999997,39.12992539625643,40.00876845254319,0
2022-05-26,25,51,0.050359999999999995,0.08867999999999998,0.861,0.121752,0.06568627450980392,0.07192156862745099,0.8623921568627451,-0.012615686274509803,29848.6,28060.72,29508.27,45080.31,29188.71,-649.7900000000009,29533.4,29560.954999999998,38.18042894595536,48.38827490228144,0
2022-05-27,30,54,0.06893333333333333,0.1155,0.8156000000000001,0.07445666666666667,0.06375925925925927,0.11901851851851852,0.8172222222222222,0.16982962962962958,29359.16,28251.91,29188.71,36570.36,28597.33,-1818.579999999998,29200.008,29379.097,36.41920844623961,38.158917852706544,1
2022-05-28,21,47,0.07457142857142858,0.09685714285714286,0.8285238095238096,0.0969952380952381,0.06302127659574469,0.08327659574468085,0.8536382978723405,0.1655531914893617,29234.85,28504.59,28597.33,12661.88,29013.53,346.23999999999796,29187.578,29413.721,38.56701265659925,36.029700810342,1
2022-05-29,22,33,0.08331818181818183,0.12159090909090908,0.7951363636363638,0.09362727272727273,0.05748484848484849,0.10342424242424242,0.8391515151515152,0.1272030303030303,29548.72,28820.15,29013.53,12840.42,29452.23,-830.25,29152.014000000003,29330.695999999996,40.835720542611384,33.94006989851218,1
2022-05-30,36,57,0.03883333333333333,0.09422222222222222,0.8670277777777777,0.23463055555555556,0.03289473684210526,0.09329824561403507,0.8738245614035086,0.2282859649122807,32161.5,29287.63,29452.23,46295.9,31716.41,2550.2599999999984,29593.642,29585.722,50.91161652668743,43.848180478223924,1
2022-05-31,49,98,0.050020408163265306,0.13734693877551019,0.8126326530612246,0.24179795918367344,0.04981632653061224,0.12583673469387757,0.8243775510204083,0.2685071428571429,32367.02,31203.31,31716.41,32446.48,31782.16,2371.4399999999987,30112.332000000002,29822.865999999998,51.17167166705264,43.97850789402983,0
2022-06-01,78,123,0.05789743589743591,0.07912820512820512,0.8629743589743589,0.05533461538461538,0.06034146341463415,0.0959349593495935,0.8436991869918697,0.1119341463414634,31956.43,29324.1,31782.16,43767.18,29789.58,-474.7099999999991,30350.782,29775.395,43.62838604297846,43.94424397936957,1
2022-06-02,32,60,0.057624999999999996,0.13274999999999998,0.80965625,0.2945625,0.05494999999999999,0.11813333333333334,0.8269500000000001,0.2594933333333333,30647.18,29574.16,29789.58,31049.7,30439.63,1363.9500000000007,30636.002,29911.79,46.404121182399706,34.74643821060297,0
2022-06-03,34,61,0.05285294117647058,0.09473529411764706,0.8523529411764706,0.11546764705882352,0.05557377049180327,0.08383606557377049,0.8605081967213116,0.07317377049180329,30676.7,29249.37,30439.63,24607.85,29680.3,50.25,30681.615999999998,29916.814999999995,43.69741109791075,37.400181705184316,1
2022-06-04,17,44,0.025882352941176474,0.08952941176470589,0.8845294117647058,0.22352941176470587,0.038909090909090914,0.1042272727272727,0.8568409090909093,0.1979272727272727,29953.65,29466.57,29680.3,10446.72,29845.48,337.2099999999991,30307.43,29950.536,44.456392025001776,37.862291241505275,1
2022-06-05,18,42,0.07127777777777777,0.07205555555555557,0.8565555555555555,0.014038888888888894,0.06276190476190475,0.11223809523809522,0.8249523809523809,0.16305714285714287,30151.31,29516.97,29845.48,10423.68,29897.9,709.1900000000023,29930.578,30021.454999999998,44.71111292676378,36.14649325887201,1
2022-06-06,65,124,0.051215384615384614,0.11223076923076923,0.8366153846153846,0.20505846153846155,0.04694354838709678,0.11833870967741936,0.83475,0.2322298387096774,31740.27,29876.22,29897.9,34484.33,31353.78,2756.449999999997,30243.417999999998,30297.1,51.38007203316272,45.32095256032863,0
